	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	Paralog1	Paralog2	WeightOutliersIncluded	WeightOutliersExcluded
Potri.001G015100.1__Potri.003G211100.1	0.58534	0.7221	2373.0	1389.0	0.50956	GF_000055	18.1707	12.0432	35.0	1.5088	Potri.001G015100.1	Potri.003G211100.1	0.5	0.0
Potri.004G109200.1__Potri.T018000.1	0.54867	0.98157	2373.0	1302.0	0.02046	GF_000055	0.0	0.0	54.0	0.1968	Potri.T018000.1	Potri.004G109200.1	1.0	0.0
Potri.004G109200.1__Potri.T018000.1	0.54867	0.98157	2373.0	1302.0	0.02046	GF_000055	0.0	0.0	54.0	0.1968	Potri.T018000.1	Potri.004G109200.1	1.0	0.0
Potri.001G225900.1__Potri.003G211100.1	0.62453	0.60459	2373.0	1482.0	1.06615	GF_000055		3.6447	64.0	1.6423	Potri.003G211100.1	Potri.001G225900.1	0.00562	0.009170000000000001
Potri.004G011000.1__Potri.T104900.1	0.29944	0.49057	1062.0	318.0	1.64022	GF_000012	0.5987	3.4538	92.0	0.1734	Potri.T104900.1	Potri.004G011000.1	0.016669999999999997	0.055560000000000005
Potri.003G010600.1__Potri.004G219600.1	0.30791	0.78287	1062.0	327.0	0.42086999999999997	GF_000012	0.1039	0.4671	124.0	0.2224	Potri.004G219600.1	Potri.003G010600.1	0.08333	0.08333
Potri.012G013000.1__Potri.T054600.1	0.33333	0.69209	1062.0	354.0	0.7347899999999999	GF_000012	0.3529	0.5365	144.0	0.6577	Potri.012G013000.1	Potri.T054600.1	0.013890000000000001	0.013890000000000001
Potri.012G013000.1__Potri.015G015200.1	0.23729	0.75	1062.0	252.0	0.70392	GF_000012	0.1741	0.6173	144.0	0.282	Potri.012G013000.1	Potri.015G015200.1	0.013890000000000001	0.013890000000000001
Potri.014G067900.1__Potri.015G126500.1	0.31356	0.4985	1062.0	333.0	1.6168	GF_000012	0.6521	65.4316	151.0	0.01	Potri.015G126500.1	Potri.014G067900.1	0.008620000000000001	0.0
Potri.001G043600.1__Potri.003G183300.1	0.39216	0.8483299999999999	1530.0	600.0	0.20559000000000002	GF_000028	0.0201	0.1263	59.0	0.1593	Potri.003G183300.1	Potri.001G043600.1	1.0	1.0
Potri.004G121100.1__Potri.017G088500.1	0.32549	0.50402	1530.0	498.0	1.1455	GF_000028	0.4086	90.0322	63.0	0.0045	Potri.004G121100.1	Potri.017G088500.1	0.16667	0.0
Potri.001G114200.1__Potri.003G117900.1	0.18039000000000002	0.85145	1530.0	276.0	0.27171	GF_000028	0.0941	0.1621	69.0	0.5807	Potri.003G117900.1	Potri.001G114200.1	0.33333	0.33333
Potri.019G037800.1__Potri.T070900.1	0.30391999999999997	1.0	1530.0	465.0	0.0	GF_000028	0.0	0.0	70.0	0.0318	Potri.019G037800.1	Potri.T070900.1	1.0	0.0
Potri.013G054500.1__Potri.019G037800.1	0.30391999999999997	0.8774200000000001	1530.0	465.0	0.14965	GF_000028	0.092	0.5073	71.0	0.1814	Potri.019G037800.1	Potri.013G054500.1	0.5	0.5
Potri.013G061300.1__Potri.019G037800.1	0.26863000000000004	0.54501	1530.0	411.0	0.9237200000000001	GF_000028	0.5088	17.8008	72.0	0.0286	Potri.013G061300.1	Potri.019G037800.1	0.33333	0.0
Potri.013G061300.1__Potri.T070900.1	0.26863000000000004	0.54501	1530.0	411.0	0.9237200000000001	GF_000028	0.5088	17.7999	72.0	0.0286	Potri.013G061300.1	Potri.T070900.1	0.33333	0.0
Potri.001G080700.1__Potri.003G150300.1	0.35882	0.8797799999999999	1530.0	549.0	0.16929	GF_000028	0.0948	0.2811	76.0	0.3373	Potri.003G150300.1	Potri.001G080700.1	1.0	1.0
Potri.003G150300.1__Potri.014G049600.1	0.34706	0.47458	1530.0	531.0	1.40205	GF_000028	0.3338	2.7386	78.0	0.1219	Potri.014G049600.1	Potri.003G150300.1	0.33333	0.5
Potri.001G080700.1__Potri.014G049600.1	0.34706	0.45951000000000003	1530.0	531.0	1.40406	GF_000028	0.3422	3.2255	78.0	0.1061	Potri.014G049600.1	Potri.001G080700.1	0.33333	0.5
Potri.001G080700.1__Potri.014G049600.1	0.34706	0.45951000000000003	1530.0	531.0	1.40406	GF_000028	0.3422	3.2255	78.0	0.1061	Potri.014G049600.1	Potri.001G080700.1	0.33333	0.5
Potri.001G419200.1__Potri.011G135400.1	0.40784000000000004	0.81891	1530.0	624.0	0.30361	GF_000028	0.3238	0.3165	84.0	1.0231	Potri.001G419200.1	Potri.011G135400.1	1.0	1.0
Potri.001G419200.1__Potri.011G135400.1	0.40784000000000004	0.81891	1530.0	624.0	0.30361	GF_000028	0.3238	0.3165	84.0	1.0231	Potri.001G419200.1	Potri.011G135400.1	1.0	1.0
Potri.006G264600.1__Potri.018G018200.1	0.3451	0.8674200000000001	1530.0	528.0	0.16779000000000002	GF_000028	0.0673	0.2024	87.0	0.3328	Potri.006G264600.1	Potri.018G018200.1	1.0	1.0
Potri.006G264600.1__Potri.018G018200.1	0.3451	0.8674200000000001	1530.0	528.0	0.16779000000000002	GF_000028	0.0673	0.2024	87.0	0.3328	Potri.006G264600.1	Potri.018G018200.1	1.0	1.0
Potri.001G398800.1__Potri.011G117800.1	0.66078	0.7725	1530.0	1011.0	0.37319	GF_000028	0.07	0.6566	90.0	0.1067	Potri.011G117800.1	Potri.001G398800.1	1.0	1.0
Potri.011G117800.1__Potri.017G011200.1	0.41373000000000004	0.56872	1530.0	633.0	0.83035	GF_000028	0.3044	98.2379	91.0	0.0031	Potri.017G011200.1	Potri.011G117800.1	0.25	0.0
Potri.006G067300.1__Potri.018G129200.1	0.48627	0.8387100000000001	1530.0	744.0	0.22091999999999998	GF_000028	0.2373	0.1906	94.0	1.2453	Potri.006G067300.1	Potri.018G129200.1	1.0	1.0
Potri.001G192100.1__Potri.006G067300.1	0.39608000000000004	0.5198	1530.0	606.0	1.07	GF_000028	0.5956	1.548	98.0	0.3847	Potri.006G067300.1	Potri.001G192100.1	0.125	0.14286
Potri.001G192100.1__Potri.018G129200.1	0.39411999999999997	0.52073	1530.0	603.0	1.05484	GF_000028	0.6138	1.7499	98.0	0.3508	Potri.018G129200.1	Potri.001G192100.1	0.125	0.14286
